judul,deskripsi
"Sinopsis ‘Takdir Lonceng Cinta’, Ini Awal Mula Kisah Keluarga Pragya","iyaa.com | Jakarta: Serial spin off Lonceng Cinta, Kundali Bhagya, akan tayang perdana di ANTV...."
"‘Mahakaali’ Tayang Perdana, Begini Kisah Pooja Sharma sebagai Dewi Parwati",iyaa.com | Jakarta: Serial Mahakali yang dibintangi Pooja Sharma dan Saurabh Raj Jain tayang perdana...
"Serial India Baru ANTV, Ini rating ‘Mahakaali’ dan ‘Takdir Lonceng Cinta’",iyaa.com | Jakarta: Dua serial India baru ditayangkan ANTV pekan ini: Mahakaali dan Takdir Lonceng...
"Menderita Batu Ginjal, Aly Goni Masuk Rumah Sakit",iyaa.com | New Delhi: Aly Goni yang dikenal pemirsa Mohabbatein sebagai Romi saat ini sedang...
"‘Seleb’ Tayang Perdana di SCTV, Ini Sinopsis dan Nama Pemainnya","iyaa.com | Jakarta: Sinetron Ramadan SCTV, Tiada Hari yang Tak Indah tamat kemarin (20/6/2018). Sebagai..."
"Lamarannya Ditolak, Mas Pur Pingsan di ‘Tukang Ojek Pengkolan’",iyaa.com | Jakarta: Kisah cinta Furry Setya kembali berujung menyedihkan. Lamaran Purnomo alias Mas Pur...
"Jasmin Bhasin ‘Dil Se Dil Tak’ Ultah, Siap Kembali ke TV dengan Proyek Baru","iyaa.com | New Delhi: Aktris Dil Se Dil Tak, Jasmin Bhasin, berulang tahun kemarin, Kamis..."
"Bintangi Serial Detektif ‘Dev 2’, Jigyasa Singh Sempat Merasa Overacting",iyaa.com | New Delhi: Si bintang Thapki Jigyasa Singh saat ini bermain di serial Detektif...
"Dibintangi Elina Joerg, ‘Kisah Misteri’ Tayang Perdana di RCTI","iyaa.com | Jakarta: Mulai malam ini, Rabu (20/6/2018), RCTI menghadirkan sinetron baru Kisah Misteri. Sesuai..."
"Sinopsis ‘Pengorbanan Cinta’, Kisah Menantu Cerdas VS Mertua Galak di SCTV",iyaa.com | Jakarta: Serial India Pengorbanan Cinta (Mere Angne Mein) tayang lagi di SCTV. Serial...
4 Mitos dan Fakta Seputar Aloe Vera Gel untuk Kecantikan,"iyaa.com | Jakarta: Aloe vera (lidah buaya), tanaman yang satu ini dipercaya punya banyak manfaat..."
"Manfaat Argan Oil untuk Wajah, dari Kulit Mulus Hingga Sembuhkan Jerawat",iyaa.com | Jakarta: Beragam jenis face oil kini diburu beauty enthusiast. Face oil jadi salah...
"Pakai Hot Pants dan Kaos Ketat, Ashanty Banjir Protes Netizen","iyaa.com | Jakarta: Posting foto liburannya di Disneyland, California, Ashanty tampil seksi dengan hot pants..."
Begini Alasan Meghan Markle Selalu Pakai Sepatu Kebesaran,iyaa.com | Jakarta: Ada satu hal menarik tentang alas kaki Meghan Markle. Dari foto di...
"‘GOST- Gosipin Setan’, Kisah Horor Selebriti di Trans TV",iyaa.com | Jakarta: Trans TV siapkan sederet program horor dan misteri. Tak hanya Gerbang Dunia...
"‘Girl’s Diary’, Petualangan Seru Dinda Kirana Jadi Traveler Segera di Trans TV",iyaa.com | Jakarta: Dinda Kirana siap ceritakan petualangannya di program baru Trans TV berjudul Girl’s...
"Trans 7 Raih Gelar Televisi Syiar Ramadhan 2018, Ini Harapan Netizen",iyaa.com | Jakarta: Ajang penghargaan Anugerah Syiar Ramadhan 1439 H/2018 M diselenggarakan Komisi Penyiaran Indonesia...
"Lahir di Jakarta, Caesar Hito Baru Pertama Kali Jalan-jalan ke Monas?",iyaa.com | Jakarta: Immanuel Caesar Hito mengungkap hal mengejutkan dalam dirinya. Pemeran Andra dalam sinetron...
"Ada Jumpa Fans ‘Anak langit’ dan ‘STJC’, Stefan William – Natasha Wilona Reuni?","iyaa.com | Jakarta: SCTV kembali menggelar meet and greet atau jumpa fans. Tak tanggung-tanggung, SCTV..."
"Kasihan, Drashti Dhami Alami KDRT di ‘Silsila’",iyaa.com | Jakarta: Silsila Badalte Rishton Ka baru tayang pekan ini di Colors TV (India)....
Romantisnya Shakti Arora dan Aditi Sharma di Episode Perdana ‘Silsila’,iyaa.com | Jakarta: Serial Silsila Badalte Rishton Ka tayang perdana Senin (4/6/2018) di Colors TV....
"Serial Turki ‘Air Mata Anakku’, Kisah Haru Ayah dan Kelima Putrinya","iyaa.com | Jakarta: Lama tak tayang, serial Turki kembali hadir di RCTI. Berjudul Air Mata..."
3 Cara Memanfaatkan Semangka untuk Kulit Cantik Alami,"iyaa.com | Jakarta: Semangka tak hanya menyehatkan tubuh, namun juga bermanfaat untuk kecantikan kulit. Sebab..."
"Muncul dengan Rambut Gondrong, Aliando Syarief Tuai Pro – Kontra",iyaa.com | Jakarta: Aliando Syarief menghilang di dunia hiburan tanah air setelah memutuskan keluar dari...
